Timestamp,UserID,UserName,Action,Detail
2025-12-06 13:33:05.418,59134904,Naragburk (Алексей [E16 Naragburk] Ekb),showed langs of books setting for user,
2025-12-06 13:32:50.264,59134904,Naragburk (Алексей [E16 Naragburk] Ekb),showed settings menu,
2025-12-06 13:32:41.175,59134904,Naragburk (Алексей [E16 Naragburk] Ekb),started bot,
2025-12-06 13:13:12.612,239743629,Roman_Kovalev (Роман Ковалев),send file,743872.fb2:Maslovskiy_S-kem-i-protiv-kogo-voevali-ukrainskie-nacionalisty-v-gody-Vtoroy-mirovoy-voyny-Istoricheskaya-publicistika.WqwTNA.743872.fb2.zip
2025-12-06 13:01:58.382,8239110298,HolyShitHappensToMe (Jules Verne),send file,743872.fb2:Maslovskiy_S-kem-i-protiv-kogo-voevali-ukrainskie-nacionalisty-v-gody-Vtoroy-mirovoy-voyny-Istoricheskaya-publicistika.WqwTNA.743872.fb2.zip
2025-12-06 13:01:22.176,8239110298,HolyShitHappensToMe (Jules Verne),searched for books for author Масловский Виталий Иванович,+масловский +виталий; count:4
2025-12-06 13:00:40.797,8239110298,HolyShitHappensToMe (Jules Verne),searched for authors by book info,+масловский +виталий; count:11
2025-12-06 13:00:22.177,8239110298,HolyShitHappensToMe (Jules Verne),searched for authors by book info,масловский виталий; count:200
2025-12-06 12:59:28.588,8239110298,HolyShitHappensToMe (Jules Verne),showed settings menu,
2025-12-06 12:52:57.361,1236659113,Tcybanev (Цыба),searched for books by book info,Джен синсеро; count:109
2025-12-06 12:52:36.401,1236659113,Tcybanev (Цыба),searched for books by book info,Будь дерзким перестань сомневаться; count:416
2025-12-06 12:51:30.689,1236659113,Tcybanev (Цыба),send file,783455.fb2:Verle_Neudobno-byt-udobnym-Kak-perestat-ugozhdat-drugim-i-vospitat-v-sebe-samouvazhenie.CmErlw.783455.fb2.zip
2025-12-06 12:50:34.361,1236659113,Tcybanev (Цыба),searched for books by book info,Неудобно быть удобным; count:1275
2025-12-06 12:49:38.660,1198399283,kid3010 (Иван Калинин),searched for books by book info,Как разозлить дракона  Коуэлл Крессида; count:1521
2025-12-06 12:23:38.083,1198399283,kid3010 (Иван Калинин),send file,752927.fb2
2025-12-06 12:21:40.631,1198399283,kid3010 (Иван Калинин),send file,752927.fb2:752927.fb2
2025-12-06 12:20:02.556,1198399283,kid3010 (Иван Калинин),searched for books by book info,как разозлить дракона; count:1522
2025-12-06 11:56:17.567,942105719,iantipov (Иван Антипов),searched for authors by book info,Евгений Шварц; count:200
2025-12-06 11:54:06.814,345105158,a_nelka (Анелия),send file,776079.fb2:Arskaya_-ne-vasha-devochka.R6oLww.776079.fb2.zip
2025-12-06 11:53:47.681,345105158,a_nelka (Анелия),send file,776565.fb2:Kerri-Lemer_Nevesta-po-vyzovu.LZTeFg.776565.fb2.zip
